R,G,B,Label
0.7897164705882354,0.6044172549019607,0.584873725490196,kudis
0.7821478431372549,0.5430039215686275,0.4499254901960784,kudis
0.6599972549019607,0.5017811764705883,0.3821850980392157,kudis
0.8744929411764706,0.7728486274509804,0.7314937254901961,kudis
0.8099345098039216,0.6280282352941177,0.5739811764705882,kudis
0.8638282352941176,0.629558431372549,0.49635999999999997,kudis
0.7874705882352941,0.6264537254901961,0.582896862745098,kudis
0.8213607843137255,0.6243301960784313,0.49783764705882355,kudis
0.784016862745098,0.6150886274509804,0.514456862745098,kudis
0.8840011764705882,0.707618431372549,0.6220650980392157,kudis
0.7609654901960784,0.4766035294117647,0.45397411764705886,kudis
0.5234882352941176,0.3423101960784314,0.39392196078431374,kudis
0.8581282352941176,0.6458403921568627,0.6307956862745098,kudis
